ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(°C),Water Temp(°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
533120441,Photo,Western Bluebird,Sialia mexicana,,Mark Hunter,2023-02-08,2023,2,8,800,United States,US-CA-037,California,Los Angeles,Huntington Botanical Gardens,34.1288701,-118.1144620,"",,Unspecified,"","",,,,,,,S127903141,"",,,,,Sialia mexicana,wesblu,Species,,,.00,0,,3456,5184
533114851,Photo,Western Bluebird,Sialia mexicana,,Edward Rooks,2023-02-08,2023,2,8,817,United States,US-CA-085,California,Santa Clara,Calero Reservoir,37.1877600,-121.7764500,"",,Unspecified,"","",,,,,,,S127903016,"",,,,,Sialia mexicana,wesblu,Species,,,.00,0,,4000,6000
533114861,Photo,Western Bluebird,Sialia mexicana,,Edward Rooks,2023-02-08,2023,2,8,817,United States,US-CA-085,California,Santa Clara,Calero Reservoir,37.1877600,-121.7764500,"",,Unspecified,"","",,,,,,,S127903016,"",,,,,Sialia mexicana,wesblu,Species,,,.00,0,,4000,6000
533105901,Photo,Western Bluebird,Sialia mexicana,,Mike Marin,2023-02-08,2023,2,8,649,United States,US-CA-059,California,Orange,Creekside Park (Aliso Viejo),33.5855228,-117.7150404,"",,Unspecified,"","",,,,,,,S127878198,"",,,,,Sialia mexicana,wesblu,Species,,,.00,0,,751,1129
533035931,Photo,Western Bluebird,Sialia mexicana,,Bob Bolles,2023-02-08,2023,2,8,918,United States,US-CA-085,California,Santa Clara,Penitencia Creek Trail,37.3924312,-121.8375721,"",,Unspecified,"","",,,,,,,S127886746,"",,,,,Sialia mexicana,wesblu,Species,,,3.50,2,,1107,1168
533029611,Photo,Western Bluebird,Sialia mexicana,,kent johnson,2023-02-02,2023,2,2,955,United States,US-CA-085,California,Santa Clara,Vasona Lake County Park,37.2385116,-121.9709873,"",,Unspecified,"","",,,,,,,S127898301,"",,,,,Sialia mexicana,wesblu,Species,,,.00,0,,1701,1134
532969431,Photo,Western Bluebird,Sialia mexicana,,Erica Rutherford/ John Colbert,2023-02-08,2023,2,8,629,United States,US-CA-001,California,Alameda,Claremont Canyon Regional Preserve,37.8661300,-122.2395730,"",,Unspecified,"","",,,,,,,S127883936,"",,,,,Sialia mexicana,wesblu,Species,,,.00,0,,3888,5184
532933361,Photo,Western Bluebird,Sialia mexicana,,Matthew Foster,2023-02-07,2023,2,7,1100,United States,US-CA-073,California,San Diego,San Diego--Old Town,32.7544275,-117.1971770,"",,Unspecified,"","",,,,,,,S127873744,"",,,,M/f pair by center of park,Sialia mexicana,wesblu,Species,,,.00,0,,895,1086
532911651,Photo,Western Bluebird,Sialia mexicana,,Carol Comeau,2023-02-07,2023,2,7,1339,United States,US-CA-079,California,San Luis Obispo,Carrizo Plain NM--KCL Campground,35.0905487,-119.7350496,"",,Unspecified,"","",,,,,,,S127866063,"",,,"Mountain Bluebird, adult male, KCL campground, Carizzo Plain National Monument, San Luis Obispo County, CA, 7 Feb 2023, Carol R. Comeau",,Sialia mexicana,wesblu,Species,,,3.00,2,,3536,2652
532849881,Photo,Western Bluebird,Sialia mexicana,,Charity Hagen,2023-02-07,2023,2,7,1405,United States,US-CA-065,California,Riverside,Harford Springs County Park,33.8071799,-117.3550129,"",,Unspecified,"","",,,,,,,S127856627,"",,,,,Sialia mexicana,wesblu,Species,,,.00,0,,3456,4608
532849851,Photo,Western Bluebird,Sialia mexicana,,Charity Hagen,2023-02-07,2023,2,7,1405,United States,US-CA-065,California,Riverside,Harford Springs County Park,33.8071799,-117.3550129,"",,Unspecified,"","",,,,,,,S127856627,"",,,,,Sialia mexicana,wesblu,Species,,,.00,0,,1545,1448
532849831,Photo,Western Bluebird,Sialia mexicana,,Charity Hagen,2023-02-07,2023,2,7,1405,United States,US-CA-065,California,Riverside,Harford Springs County Park,33.8071799,-117.3550129,"",,Unspecified,"","",,,,,,,S127856627,"",,,,,Sialia mexicana,wesblu,Species,,,.00,0,,2279,3067
